ST_CASE,WEATHERNAME
40579,Clear
40580,Clear
40581,Clear
40582,Clear
40583,Clear
40584,Clear
40585,Clear
40586,Cloudy
40587,Cloudy
40588,Clear
40589,Clear
40590,Cloudy
40591,Cloudy
40592,Clear
40593,Clear
40594,Rain
40595,Clear
40596,Clear
40597,Clear
40598,Clear
40599,Clear
40600,Clear
40601,Clear
40602,Clear
40603,Clear
40604,Clear
40605,Clear
40606,Clear
40607,Clear
40608,Cloudy
40609,Clear
40610,Clear
40611,Clear
40612,Clear
40613,Clear
40614,Cloudy
40615,Rain
40616,Clear
40617,Cloudy
40618,Cloudy
40619,Clear
40620,Clear
40621,Clear
40622,Clear
40623,Clear
40624,Clear
40625,Cloudy
40626,Clear
40627,Clear
40628,Clear
40629,Clear
40630,Clear
40631,Clear
40632,Clear
40633,Clear
40634,Clear
40635,Reported as Unknown
40636,Reported as Unknown
40637,Clear
40638,Clear
40639,Clear
40640,Clear
40641,Clear
40642,Clear
40643,Clear
40644,Rain
40645,Clear
40646,Clear
40647,Clear
40648,Clear
40649,Clear
40650,Clear
40651,Not Reported
40652,Clear
40653,Clear
40654,Reported as Unknown
40655,Clear
40656,Clear
40657,Clear
40658,Clear
40659,Clear
40660,Clear
40661,Clear
40662,Clear
40663,Clear
40664,Clear
40665,Clear
40666,Reported as Unknown
40667,Reported as Unknown
40668,Cloudy
40669,Clear
40670,Cloudy
40671,Clear
40672,Reported as Unknown
40673,Reported as Unknown
40674,Reported as Unknown
40675,Cloudy
40676,Clear
40677,Clear
40678,Clear
40679,Clear
40680,Clear
40681,Clear
40682,Clear
40683,Clear
40684,Clear
40685,Clear
40686,Clear
40687,Clear
40688,Clear
40689,Clear
40690,Clear
40691,Clear
40692,Clear
40693,Clear
40694,Clear
40695,Clear
40696,Clear
40697,Clear
40698,Clear
40699,Clear
40700,Clear
40701,Clear
40702,Clear
40703,Clear
40704,Clear
40705,Clear
40706,Clear
40707,Clear
40708,Clear
40709,Clear
40710,Not Reported
40711,Clear
40712,Clear
40713,Clear
40714,Clear
40715,Clear
40716,Clear
40717,Clear
40718,Clear
40719,Clear
40721,Clear
40722,Cloudy
40723,Clear
40724,Clear
40725,Clear
40726,Clear
40727,Clear
40728,Clear
40729,Clear
40730,Clear
40731,Clear
40732,Cloudy
40733,Clear
40734,Rain
40735,Clear
40736,Clear
40737,Clear
40738,Clear
40739,Clear
40740,Clear
40741,Clear
40742,Clear
40743,Reported as Unknown
40744,Clear
40745,Reported as Unknown
40746,Reported as Unknown
40747,Clear
40748,Clear
40749,Clear
40750,Clear
40751,Clear
40752,Clear
40753,Clear
40754,Clear
40755,Reported as Unknown
40756,Reported as Unknown
40757,Clear
40758,Cloudy
40759,Clear
40760,Clear
40761,Clear
40762,Reported as Unknown
40763,Clear
40764,Clear
40765,Clear
40766,Clear
40767,Clear
40768,Clear
40769,Clear
40770,Clear
40771,Clear
40772,Clear
40773,Clear
40774,Rain
40775,Clear
40776,Cloudy
40778,Clear
40779,Clear
40780,Clear
40781,Clear
40783,Clear
40784,Clear
40785,Clear
40786,Clear
40787,Clear
40788,Clear
40789,Clear
40790,Clear
40791,Clear
40792,Clear
40793,Clear
40794,Clear
40795,Clear
40796,Clear
40797,Clear
40798,Clear
40800,Clear
40801,Clear
40802,Clear
40803,Clear
40804,Rain
40805,Cloudy
40806,Rain
40807,Clear
40808,Cloudy
40809,Clear
40810,Clear
40811,Clear
40812,Clear
40813,Cloudy
40814,Clear
40815,Cloudy
40816,Cloudy
40817,Cloudy
40818,Cloudy
40819,Clear
40820,Clear
40821,Clear
40822,Clear
40823,Clear
40824,Clear
40825,Reported as Unknown
40826,Clear
40827,Clear
40828,Reported as Unknown
40829,Clear
40830,Clear
40831,Rain
40832,Clear
40833,Reported as Unknown
40834,Clear
40835,Clear
40836,Cloudy
40837,Clear
40838,Reported as Unknown
40839,Reported as Unknown
40840,Not Reported
40841,Clear
40842,Reported as Unknown
40843,Reported as Unknown
40844,Clear
40845,Reported as Unknown
40846,Reported as Unknown
40847,Clear
40848,Cloudy
40849,Clear
40850,Clear
40851,Clear
40852,Snow
40853,Clear
40854,Cloudy
40855,Clear
40856,Clear
40857,Cloudy
40858,Clear
40859,Cloudy
40860,Cloudy
40861,Clear
40862,Clear
40863,Clear
40864,Cloudy
40865,Clear
40866,Clear
40867,Clear
40868,Clear
40869,Clear
40870,Clear
40871,Clear
40872,Clear
40873,Clear
40874,Clear
40875,Clear
40877,Clear
40878,Clear
40879,Clear
40880,Cloudy
40881,Rain
40882,Cloudy
40883,Rain
40885,Cloudy
40886,Clear
40888,Clear
40889,Clear
40890,Reported as Unknown
40891,Reported as Unknown
40892,Clear
40893,Rain
40894,Reported as Unknown
40895,Clear
40896,Clear
40897,Clear
40898,Clear
40899,Clear
40900,Clear
