ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10333,0,0,10,0,5,30,0,11,0,0
10334,0,0,0,0,0,0,0,0,0,0
10335,11,11,11,11,11,11,11,11,11,11
10336,8,8,8,8,8,8,8,8,8,8
10337,9,9,9,9,9,9,9,9,9,9
10338,20,6,14,10,14,7,22,25,9,23
10339,10,10,10,10,10,10,10,10,10,10
10340,0,0,0,0,0,0,0,0,0,0
10341,0,0,0,0,0,0,0,0,0,0
10342,11,11,11,11,11,11,11,11,11,11
10343,0,0,0,0,0,0,0,0,0,0
10344,18,18,18,18,18,18,18,18,18,18
10345,5,5,5,5,5,5,5,5,5,5
10346,0,0,0,0,0,0,0,0,0,0
10347,0,0,0,0,0,0,0,0,0,0
10348,6,0,0,0,0,0,0,0,0,0
10349,0,0,0,0,0,0,0,0,0,0
10350,13,13,13,13,13,13,13,13,13,13
10351,0,0,0,0,0,0,0,0,0,0
10352,9,9,9,9,15,12,13,9,9,9
10353,21,21,21,21,21,21,21,21,21,21
10354,0,0,0,16,0,0,0,0,0,0
10355,0,0,0,0,0,0,0,0,0,0
10356,0,0,0,0,0,0,0,0,0,0
10357,17,17,17,17,17,17,17,17,17,17
10358,0,0,12,0,0,0,0,0,0,0
10359,0,0,0,0,0,0,0,0,26,0
10360,21,7,18,0,16,9,41,10,13,0
10361,0,26,0,6,17,0,10,30,0,33
10362,0,24,0,0,0,0,0,0,0,0
10363,27,27,27,27,27,27,27,27,27,27
10364,13,26,33,8,6,19,7,19,5,18
10365,20,20,20,20,20,20,20,20,20,20
10366,0,0,0,0,0,0,0,0,0,0
10367,0,0,0,0,0,0,0,0,0,0
10368,3,3,3,3,3,3,3,3,3,3
10369,0,0,0,0,0,0,0,0,0,0
10370,0,0,0,0,0,0,0,0,0,0
10371,31,31,31,31,31,31,31,31,31,31
10372,0,0,0,0,0,16,0,0,0,0
10373,0,0,0,0,0,0,0,0,8,0
10374,0,11,36,0,0,0,0,0,0,0
10375,0,13,16,0,0,0,0,31,0,0
10376,31,31,31,31,31,31,31,31,31,31
10377,0,0,0,0,0,0,0,0,0,0
10378,15,15,15,15,15,15,15,15,15,15
10379,0,0,0,0,0,0,0,0,0,0
10380,0,0,0,0,0,0,0,0,0,0
10381,20,20,20,20,20,20,20,20,20,20
10382,0,0,0,0,0,0,0,0,0,0
10383,17,0,0,0,0,9,0,0,35,0
10384,26,26,26,26,26,26,26,26,26,26
10385,0,23,0,23,20,0,0,0,8,0
10386,0,0,0,0,0,0,0,0,0,0
10387,0,0,0,0,0,0,0,0,0,0
10388,0,0,0,0,0,0,0,0,0,0
10389,22,18,14,30,22,29,19,13,30,14
10390,4,0,0,0,11,0,0,14,0,0
10391,0,0,0,0,0,0,0,0,0,0
10392,0,0,0,0,0,0,0,0,0,0
10393,17,17,17,17,17,17,17,17,17,20
10394,23,23,23,23,23,23,23,23,23,23
10395,23,23,23,23,23,23,23,23,23,23
10396,0,14,0,0,0,16,0,0,0,0
10397,25,25,25,25,42,25,25,25,25,25
10398,9,16,37,23,0,15,14,0,33,4
10399,0,0,0,0,0,0,0,0,0,0
10400,17,17,17,17,17,17,17,17,17,17
10401,0,0,0,0,0,0,0,0,0,0
10402,0,0,0,0,0,0,0,0,0,0
10403,26,26,26,26,26,26,26,26,26,26
10404,0,0,0,0,0,0,0,0,0,0
10405,0,0,0,0,9,0,0,0,0,0
10406,0,0,0,0,0,0,0,0,0,0
10407,0,24,15,23,18,0,13,6,15,0
10408,0,0,0,0,0,0,0,0,0,0
10410,0,0,0,0,0,0,0,0,0,5
10412,0,0,0,0,0,0,0,0,0,0
10413,13,13,13,13,13,15,20,13,13,13
10414,0,0,0,0,0,0,13,0,0,0
10415,16,12,27,7,20,18,26,26,4,11
10416,0,0,0,0,0,0,0,0,0,0
10417,0,0,21,0,0,0,10,0,0,0
10418,12,12,12,12,12,12,12,12,12,12
10419,6,9,0,0,0,12,0,3,8,10
10420,0,0,0,0,0,0,0,0,0,0
10421,28,0,0,0,0,21,0,9,23,0
10422,7,17,7,7,7,7,7,7,7,7
10423,17,17,17,17,17,17,23,23,17,17
10424,17,0,0,0,0,0,0,0,0,0
10425,0,0,20,0,15,0,16,0,0,9
10426,0,0,0,0,0,0,0,0,0,0
10427,0,0,0,0,0,0,0,0,0,0
10428,0,0,0,0,0,0,0,0,0,0
10429,26,26,26,26,26,26,42,26,26,26
10430,28,28,28,28,28,28,28,28,28,28
10431,0,0,0,0,0,0,0,0,0,0
10432,0,0,0,0,0,0,0,0,0,0
10433,13,6,3,21,11,11,0,14,0,8
10434,15,0,26,2,0,0,0,5,0,10
10435,18,18,18,18,18,18,18,18,18,18
10436,0,0,0,0,0,0,0,0,0,0
10437,0,10,0,0,16,0,12,16,17,29
10438,17,17,17,17,17,17,17,17,17,17
10439,24,24,24,24,24,24,24,24,24,24
10440,0,0,0,0,0,19,0,7,0,0
10441,18,33,9,11,15,12,27,16,15,17
10442,12,12,12,12,12,12,12,12,12,12
10443,30,30,30,30,30,30,30,30,30,30
10444,11,11,11,11,11,11,11,11,11,11
10445,19,19,19,19,34,19,19,19,19,24
10446,0,0,0,19,9,0,0,0,0,4
10447,0,0,0,0,0,25,9,0,0,0
10448,7,7,7,7,7,7,7,7,7,7
10449,0,0,23,0,0,0,0,0,7,0
10450,0,0,0,0,0,0,0,0,0,0
10451,0,0,0,0,0,0,0,0,0,0
10452,0,12,41,0,0,7,0,20,0,0
10453,8,0,11,5,14,6,24,0,0,0
10454,25,25,25,25,25,25,25,25,25,25
10455,0,0,14,0,0,0,0,6,0,17
10456,2,0,0,0,0,0,0,0,0,0
10457,32,32,32,32,32,32,32,32,32,32
10458,0,0,0,0,0,20,0,0,0,0
10459,0,0,0,0,0,0,0,0,0,0
10460,7,7,7,7,7,7,7,9,7,7
10461,19,19,19,19,19,19,19,19,19,19
10462,0,0,0,0,0,0,0,8,0,0
10463,13,13,13,13,13,13,13,13,13,13
10464,0,0,0,0,0,0,0,0,0,0
10465,0,0,0,17,0,0,0,0,0,0
10466,0,36,0,0,0,0,0,0,13,0
10467,0,0,0,0,0,0,0,0,0,0
10468,31,0,0,0,0,3,0,0,0,0
10469,25,25,25,25,25,25,25,25,25,25
10470,0,0,0,0,0,0,0,0,0,0
10471,31,17,0,0,0,0,0,13,0,21
10472,0,0,0,0,0,0,0,0,0,0
10473,0,0,0,0,0,0,0,0,0,0
10474,0,0,0,0,0,0,0,3,0,0
10475,0,0,0,0,0,0,0,0,0,0
10476,0,0,0,0,0,0,0,0,0,0
10477,22,22,22,22,29,22,22,22,22,22
10478,5,5,5,5,5,5,5,5,5,5
10479,0,0,0,0,0,0,0,0,0,0
10480,0,0,0,0,0,0,0,0,0,0
10481,0,26,0,0,0,22,0,31,0,15
10482,0,0,0,12,0,0,0,0,0,0
10483,0,0,2,0,17,0,0,0,0,31
10484,0,0,0,0,0,0,0,0,0,0
10485,0,0,0,0,0,0,0,0,0,0
10486,0,0,0,0,0,0,0,0,0,0
10487,30,30,30,30,30,30,30,30,30,30
10488,17,17,17,17,17,17,17,17,17,17
10489,4,16,29,8,21,0,30,0,0,0
10490,0,0,0,0,0,0,0,0,0,0
10491,0,0,0,0,0,0,0,0,0,0
10492,0,0,0,0,0,0,0,0,0,0
10493,13,23,10,0,26,20,16,22,9,13
10494,22,22,22,22,22,22,22,22,22,22
10495,0,0,0,0,0,0,0,0,0,0
10496,7,7,7,7,7,7,7,7,7,7
10497,0,0,0,0,0,0,0,0,0,0
10498,0,0,0,0,0,0,0,0,0,0
10499,0,0,0,0,0,14,0,0,18,0
10500,0,0,0,0,0,11,0,0,0,0
10501,17,17,17,17,17,17,17,17,17,17
10502,0,0,0,0,9,0,0,0,27,0
10503,31,31,31,31,31,31,31,31,31,31
10504,3,3,3,3,3,3,3,3,3,3
10505,36,36,36,36,36,36,36,36,36,36
10506,0,0,0,13,0,0,0,0,0,0
10507,0,0,0,37,28,0,0,21,0,0
10508,20,7,4,13,0,0,17,12,0,19
10509,17,17,17,17,17,17,17,17,17,17
10510,6,11,21,0,24,4,12,9,7,17
10511,0,0,0,0,0,0,0,0,0,0
10512,0,14,0,0,0,0,0,0,0,0
10513,0,0,0,0,0,0,0,0,0,0
10514,13,10,11,0,0,7,7,17,0,0
10515,0,15,0,25,17,23,0,8,9,0
10516,0,0,0,0,0,0,0,0,0,0
10517,0,0,6,0,0,0,0,0,0,0
10518,19,12,11,31,0,19,26,12,16,20
10519,0,0,0,0,0,0,0,0,0,0
10521,0,0,0,0,0,0,0,0,0,0
10522,0,0,0,0,0,0,0,0,0,0
10523,0,0,0,0,0,0,0,0,0,0
10524,5,5,5,5,5,5,5,5,5,5
10525,0,0,0,0,0,0,0,0,0,0
10526,0,0,0,0,0,14,0,0,0,0
10527,0,0,0,0,0,0,0,0,0,0
10528,0,0,0,0,0,0,0,0,0,0
10529,33,33,33,33,33,33,33,33,33,33
10530,0,0,0,0,0,0,0,0,0,0
10531,0,0,0,0,0,0,0,0,0,8
10532,0,0,0,0,0,0,0,0,0,0
10533,0,0,0,0,0,0,12,0,0,0
10534,0,0,0,0,0,0,0,0,0,0
10535,30,30,30,30,30,30,30,30,30,30
10536,10,10,10,10,10,10,10,10,10,10
10537,0,0,0,0,0,0,0,0,0,0
10538,0,0,8,0,0,24,0,0,0,0
10539,0,0,0,0,0,0,0,8,21,0
10540,24,24,24,24,24,24,24,24,24,24
10541,0,0,0,0,0,0,0,0,0,0
10542,26,0,27,0,28,11,9,15,29,0
10543,8,8,8,8,8,8,8,8,8,8
10544,0,0,0,0,0,0,0,0,0,0
10545,0,0,0,0,0,0,0,0,0,0
10546,0,0,0,0,0,0,0,13,0,12
10547,0,0,0,0,0,0,0,0,0,0
10548,0,0,4,0,0,0,0,0,23,17
10549,0,0,0,0,0,0,0,0,0,0
10550,0,0,0,24,0,0,0,0,0,0
10551,0,0,0,0,0,0,0,0,0,0
10552,19,15,8,22,18,16,18,16,36,16
10553,0,0,0,0,0,0,0,24,0,0
10554,0,0,0,11,0,0,0,0,40,11
10555,10,10,10,10,10,10,10,10,10,10
10556,11,22,28,21,8,5,36,14,18,15
10557,0,18,32,0,26,0,0,0,3,0
10558,30,21,11,27,20,8,19,0,0,15
10559,0,13,5,40,2,0,0,26,9,0
10560,0,0,0,0,0,0,0,0,0,0
10561,0,0,0,0,0,0,0,0,0,0
10562,33,33,33,33,33,33,33,33,33,33
10563,0,0,0,0,0,0,0,0,0,0
10564,30,30,30,30,30,30,30,30,30,30
10565,0,14,19,0,17,0,39,0,0,13
10566,15,0,0,0,0,0,0,0,0,0
10567,10,0,0,0,0,29,0,0,0,0
10568,0,0,0,0,0,0,0,0,0,0
10569,17,17,17,17,17,17,17,17,17,17
10570,22,22,22,22,22,22,22,22,25,22
10571,0,24,25,17,15,0,5,33,0,8
10572,10,7,24,0,20,12,14,40,23,23
10573,0,0,0,0,0,0,0,0,0,0
10574,0,0,0,0,0,0,0,0,0,0
10575,0,0,0,0,0,0,0,0,0,0
10576,11,6,14,0,0,0,0,0,10,0
10577,24,24,24,24,24,24,24,24,24,24
10578,0,0,0,0,0,0,0,0,0,0
10579,0,0,0,0,0,0,0,0,0,0
10580,21,21,21,21,21,21,21,21,21,21
10581,0,0,0,0,0,0,0,0,0,0
10582,0,7,12,0,20,14,22,3,10,16
10583,4,30,0,0,0,16,5,0,0,0
10584,0,0,0,0,0,0,0,0,0,0
10585,36,0,0,0,0,0,0,0,0,0
10586,17,17,17,17,17,17,17,17,17,17
10587,0,0,0,0,0,0,0,0,0,0
10588,0,0,0,0,0,0,0,0,0,0
10589,0,0,0,0,0,0,0,0,0,0
10590,0,0,0,0,0,0,0,0,0,0
10591,0,0,0,0,0,0,0,0,0,0
10592,0,0,0,0,0,0,25,31,0,0
10593,10,10,10,10,10,10,10,10,10,10
10594,0,0,0,0,0,0,0,0,16,0
10595,0,0,0,0,0,0,0,0,0,0
10596,0,0,0,0,0,22,0,0,0,0
10597,26,26,26,26,26,26,26,26,26,26
10598,0,24,10,0,11,0,14,0,0,0
10599,0,0,0,0,0,0,0,0,0,0
