ST_CASE,WEATHERNAME,YEAR
40048,Clear,2019
40049,Clear,2019
40050,Clear,2019
40051,Clear,2019
40052,Rain,2019
40053,Clear,2019
40054,Cloudy,2019
40055,Reported as Unknown,2019
40056,Cloudy,2019
40057,Clear,2019
40058,Not Reported,2019
40059,Clear,2019
40060,Clear,2019
40061,Clear,2019
40062,Not Reported,2019
40063,Clear,2019
40064,Clear,2019
40065,Clear,2019
40066,Clear,2019
40067,Clear,2019
40068,Rain,2019
40069,Cloudy,2019
40070,Clear,2019
40071,Clear,2019
40072,Clear,2019
40073,Clear,2019
40074,Clear,2019
40075,Clear,2019
40076,Clear,2019
40077,Clear,2019
40078,Cloudy,2019
40079,Clear,2019
40080,Rain,2019
40081,Clear,2019
40082,Cloudy,2019
40083,Cloudy,2019
40084,Clear,2019
40085,Clear,2019
40086,Clear,2019
40087,Clear,2019
40088,Not Reported,2019
40089,Clear,2019
40090,Cloudy,2019
40091,Clear,2019
40092,Clear,2019
40093,Clear,2019
40094,Cloudy,2019
40095,Rain,2019
40096,Clear,2019
40097,Clear,2019
40098,Clear,2019
40099,Clear,2019
40100,Clear,2019
40101,Cloudy,2019
40102,Cloudy,2019
40103,Clear,2019
40104,Clear,2019
40105,Clear,2019
40106,Clear,2019
40107,Cloudy,2019
40108,Rain,2019
40109,Rain,2019
40110,Snow,2019
40111,Snow,2019
40112,Clear,2019
40113,Clear,2019
40114,Clear,2019
40115,Clear,2019
40116,Cloudy,2019
40117,Clear,2019
40118,Clear,2019
40120,Clear,2019
40121,Clear,2019
40122,Clear,2019
40123,Clear,2019
40124,Clear,2019
40125,Clear,2019
40126,Cloudy,2019
40127,Clear,2019
40128,Clear,2019
40129,Rain,2019
40130,Clear,2019
40131,Clear,2019
40132,Cloudy,2019
40133,Clear,2019
40134,Clear,2019
40135,Clear,2019
40136,Clear,2019
40137,Clear,2019
40138,Cloudy,2019
40139,Clear,2019
40140,Clear,2019
40141,Clear,2019
40142,Clear,2019
40143,Clear,2019
40144,Clear,2019
40145,Clear,2019
40146,Clear,2019
40147,Clear,2019
40148,Clear,2019
40149,Clear,2019
40150,Clear,2019
40151,Clear,2019
40152,Clear,2019
40153,Clear,2019
40154,Clear,2019
40155,Clear,2019
40156,Clear,2019
40157,Clear,2019
40158,Clear,2019
40159,Clear,2019
40160,Clear,2019
40161,Clear,2019
40162,Clear,2019
40163,Clear,2019
40164,Clear,2019
40165,Clear,2019
